ParamObjectName	Id.KKS	Id.OperId	Id.Description.LT	Id.Description.EN	Id.Description.LV	Id.Description.RU	EngUnits	DI Obj	ScanGroup	PV Reference	AlarmByteAddress (Status)	CfgByteAddress (CMD)	RangeMinAddress	RangeMaxAddress	HystAddress	LoLoLimitAddress	LoLimitAddress	HiLimitAddress	HiHiLimitAddress	Dampher	NUmericFormat	ScaleCoef	iScONFIGURABLE	SP Address	OptimalRangeMin	OptimaRangeMax	PV.IO																												
indirect_AI	indirect_AI							PLC	sg.PLC	PLC.sg.PLC.DB33,Real0	PLC.sg.PLC.DB33,Word8	PLC.sg.PLC.DB33,Word10	PLC.sg.PLC.DB33,Real12	PLC.sg.PLC.DB33,Real16	PLC.sg.PLC.DB33,Real24	PLC.sg.PLC.DB33,Real28	PLC.sg.PLC.DB33,Real32	PLC.sg.PLC.DB33,Real34	PLC.sg.PLC.DB33,Real38	PLC.sg.PLC.DB33,Real20	F1	1	1		0	100	PLC.sg.PLC.DB33,Real4																												
HBK10_CP001	HBK10_CP001		Slėgis kūrykloje					PLC	sg.PLC	PLC.sg.PLC.DB33,Real80	PLC.sg.PLC.DB33,Word88	PLC.sg.PLC.DB33,Word90	PLC.sg.PLC.DB33,Real92	PLC.sg.PLC.DB33,Real96	PLC.sg.PLC.DB33,Real104	PLC.sg.PLC.DB33,Real108	PLC.sg.PLC.DB33,Real112	PLC.sg.PLC.DB33,Real114	PLC.sg.PLC.DB33,Real118	PLC.sg.PLC.DB33,Real100	F1	1	1		0	100	PLC.sg.PLC.DB33,Real84																												
HBK20_CP001	HBK20_CP001		Slėgis kūrykloje					PLC	sg.PLC	PLC.sg.PLC.DB33,Real160	PLC.sg.PLC.DB33,Word168	PLC.sg.PLC.DB33,Word170	PLC.sg.PLC.DB33,Real172	PLC.sg.PLC.DB33,Real176	PLC.sg.PLC.DB33,Real184	PLC.sg.PLC.DB33,Real188	PLC.sg.PLC.DB33,Real192	PLC.sg.PLC.DB33,Real194	PLC.sg.PLC.DB33,Real198	PLC.sg.PLC.DB33,Real180	F1	1	1		0	100	PLC.sg.PLC.DB33,Real164																												
HHA11_CB001	HHA11_CB001		Liepsnos skaneris Nr. 1: Liepsnos intensyvumas					PLC	sg.PLC	PLC.sg.PLC.DB33,Real240	PLC.sg.PLC.DB33,Word248	PLC.sg.PLC.DB33,Word250	PLC.sg.PLC.DB33,Real252	PLC.sg.PLC.DB33,Real256	PLC.sg.PLC.DB33,Real264	PLC.sg.PLC.DB33,Real268	PLC.sg.PLC.DB33,Real272	PLC.sg.PLC.DB33,Real274	PLC.sg.PLC.DB33,Real278	PLC.sg.PLC.DB33,Real260	F1	1	1		0	100	PLC.sg.PLC.DB33,Real244																												
HHA12_CB001	HHA12_CB001		Liepsnos skaneris Nr. 2: Liepsnos intensyvumas					PLC	sg.PLC	PLC.sg.PLC.DB33,Real320	PLC.sg.PLC.DB33,Word328	PLC.sg.PLC.DB33,Word330	PLC.sg.PLC.DB33,Real332	PLC.sg.PLC.DB33,Real336	PLC.sg.PLC.DB33,Real344	PLC.sg.PLC.DB33,Real348	PLC.sg.PLC.DB33,Real352	PLC.sg.PLC.DB33,Real354	PLC.sg.PLC.DB33,Real358	PLC.sg.PLC.DB33,Real340	F1	1	1		0	100	PLC.sg.PLC.DB33,Real324																												
HHA13_CB001	HHA13_CB001		Liepsnos skaneris Nr. 3: Liepsnos intensyvumas					PLC	sg.PLC	PLC.sg.PLC.DB33,Real400	PLC.sg.PLC.DB33,Word408	PLC.sg.PLC.DB33,Word410	PLC.sg.PLC.DB33,Real412	PLC.sg.PLC.DB33,Real416	PLC.sg.PLC.DB33,Real424	PLC.sg.PLC.DB33,Real428	PLC.sg.PLC.DB33,Real432	PLC.sg.PLC.DB33,Real434	PLC.sg.PLC.DB33,Real438	PLC.sg.PLC.DB33,Real420	F1	1	1		0	100	PLC.sg.PLC.DB33,Real404																												
HHA14_CB001	HHA14_CB001		Liepsnos skaneris Nr. 4: Liepsnos intensyvumas					PLC	sg.PLC	PLC.sg.PLC.DB33,Real480	PLC.sg.PLC.DB33,Word488	PLC.sg.PLC.DB33,Word490	PLC.sg.PLC.DB33,Real492	PLC.sg.PLC.DB33,Real496	PLC.sg.PLC.DB33,Real504	PLC.sg.PLC.DB33,Real508	PLC.sg.PLC.DB33,Real512	PLC.sg.PLC.DB33,Real514	PLC.sg.PLC.DB33,Real518	PLC.sg.PLC.DB33,Real500	F1	1	1		0	100	PLC.sg.PLC.DB33,Real484																												
HHA15_CB001	HHA15_CB001		Liepsnos skaneris Nr. 5: Liepsnos intensyvumas					PLC	sg.PLC	PLC.sg.PLC.DB33,Real560	PLC.sg.PLC.DB33,Word568	PLC.sg.PLC.DB33,Word570	PLC.sg.PLC.DB33,Real572	PLC.sg.PLC.DB33,Real576	PLC.sg.PLC.DB33,Real584	PLC.sg.PLC.DB33,Real588	PLC.sg.PLC.DB33,Real592	PLC.sg.PLC.DB33,Real594	PLC.sg.PLC.DB33,Real598	PLC.sg.PLC.DB33,Real580	F1	1	1		0	100	PLC.sg.PLC.DB33,Real564																												
HHA16_CB001	HHA16_CB001		Liepsnos skaneris Nr. 6: Liepsnos intensyvumas					PLC	sg.PLC	PLC.sg.PLC.DB33,Real640	PLC.sg.PLC.DB33,Word648	PLC.sg.PLC.DB33,Word650	PLC.sg.PLC.DB33,Real652	PLC.sg.PLC.DB33,Real656	PLC.sg.PLC.DB33,Real664	PLC.sg.PLC.DB33,Real668	PLC.sg.PLC.DB33,Real672	PLC.sg.PLC.DB33,Real674	PLC.sg.PLC.DB33,Real678	PLC.sg.PLC.DB33,Real660	F1	1	1		0	100	PLC.sg.PLC.DB33,Real644																												
HHF15_CP001	HHF15_CP001		Mazuto slėgis už redukcinio vožtuvo					PLC	sg.PLC	PLC.sg.PLC.DB33,Real720	PLC.sg.PLC.DB33,Word728	PLC.sg.PLC.DB33,Word730	PLC.sg.PLC.DB33,Real732	PLC.sg.PLC.DB33,Real736	PLC.sg.PLC.DB33,Real744	PLC.sg.PLC.DB33,Real748	PLC.sg.PLC.DB33,Real752	PLC.sg.PLC.DB33,Real754	PLC.sg.PLC.DB33,Real758	PLC.sg.PLC.DB33,Real740	F1	1	1		0	100	PLC.sg.PLC.DB33,Real724																												
